"","Species","Pasture","Quad","Year","totParea","Gcov","NRquad"
"1","Bouteloua gracilis","11","gzgz_11",1998,0.412625383401389,0.331373923458258,0
"2","Bouteloua gracilis","11","gzgz_11",1999,0.411735371069234,0.376370099471718,0
"3","Bouteloua gracilis","11","gzgz_11",2000,0.387951680924229,0.380052504599866,1
"4","Bouteloua gracilis","11","gzgz_11",2001,0.377615690212925,0.34589925283224,3
"5","Bouteloua gracilis","11","gzgz_11",2002,0.411335773850896,0.376497178708227,0
"6","Bouteloua gracilis","11","gzgz_11",2003,0.18803212528336,0.232271679376888,0
"7","Bouteloua gracilis","11","gzgz_11",2004,0.369313737036113,0.259140118549918,0
"8","Bouteloua gracilis","11","gzgz_11",2005,0.269233889875747,0.160341562186746,1
"9","Bouteloua gracilis","11","gzgz_11",2006,0.399967037961206,0.249540471234588,1
"10","Bouteloua gracilis","11","gzgz_11",2007,0.424258594930487,0.251050547948501,0
"11","Bouteloua gracilis","11","gzgz_11",2008,0.191163092188807,0.156621963522133,5
"12","Bouteloua gracilis","11","gzgz_11",2009,0.396721725530875,0.212526355838177,0
"13","Bouteloua gracilis","11","gzgz_11",2010,0.265625091982154,0.240036908186346,0
"14","Bouteloua gracilis","11","gzun_11",1998,0.367024783966253,0.331373923458258,0
"15","Bouteloua gracilis","11","gzun_11",1999,0.440518863461491,0.376370099471718,0
"16","Bouteloua gracilis","11","gzun_11",2000,0.410804376070898,0.380052504599866,0
"17","Bouteloua gracilis","11","gzun_11",2001,0.400067190198088,0.34589925283224,0
"18","Bouteloua gracilis","11","gzun_11",2002,0.436331316004843,0.376497178708227,0
"19","Bouteloua gracilis","11","gzun_11",2003,0.26340354735285,0.232271679376888,0
"20","Bouteloua gracilis","11","gzun_11",2004,0.302337409476272,0.259140118549918,0
"21","Bouteloua gracilis","11","gzun_11",2005,0.255163953399468,0.160341562186746,0
"22","Bouteloua gracilis","11","gzun_11",2006,0.324731094113629,0.249540471234588,0
"23","Bouteloua gracilis","11","gzun_11",2007,0.225750460971361,0.251050547948501,4
"24","Bouteloua gracilis","11","gzun_11",2008,0.132225523987535,0.156621963522133,4
"25","Bouteloua gracilis","11","gzun_11",2009,0.262436839643735,0.212526355838177,0
"26","Bouteloua gracilis","11","gzun_11",2010,0.338254110645735,0.240036908186346,0
"27","Bouteloua gracilis","11","ungz_11",1998,0.311446129060005,0.331373923458258,0
"28","Bouteloua gracilis","11","ungz_11",1999,0.315259173157772,0.376370099471718,1
"29","Bouteloua gracilis","11","ungz_11",2000,0.314177385449923,0.380052504599866,4
"30","Bouteloua gracilis","11","ungz_11",2001,0.260014878085707,0.34589925283224,3
"31","Bouteloua gracilis","11","ungz_11",2002,0.325125089825704,0.376497178708227,0
"32","Bouteloua gracilis","11","ungz_11",2003,0.153473289356931,0.232271679376888,2
"33","Bouteloua gracilis","11","ungz_11",2004,0.295996465314142,0.259140118549918,0
"34","Bouteloua gracilis","11","ungz_11",2005,0.0817568468798379,0.160341562186746,14
"35","Bouteloua gracilis","11","ungz_11",2006,0.273413752863518,0.249540471234588,2
"36","Bouteloua gracilis","11","ungz_11",2007,0.326205169309701,0.251050547948501,1
"37","Bouteloua gracilis","11","ungz_11",2008,0.253828751533736,0.156621963522133,7
"38","Bouteloua gracilis","11","ungz_11",2009,0.168096533994357,0.212526355838177,0
"39","Bouteloua gracilis","11","ungz_11",2010,0.334207191535993,0.240036908186346,0
"40","Bouteloua gracilis","11","unun_11",1998,0.234399397405384,0.331373923458258,2
"41","Bouteloua gracilis","11","unun_11",1999,0.337966990198374,0.376370099471718,3
"42","Bouteloua gracilis","11","unun_11",2002,0.333196535151468,0.376497178708227,0
"43","Bouteloua gracilis","11","unun_11",2003,0.324177755514409,0.232271679376888,0
"44","Bouteloua gracilis","11","unun_11",2004,0.068912862373143,0.259140118549918,0
"45","Bouteloua gracilis","11","unun_11",2005,0.0352115585919295,0.160341562186746,1
"46","Bouteloua gracilis","11","unun_11",2006,4.99999999999988e-05,0.249540471234588,8
"47","Bouteloua gracilis","11","unun_11",2007,0.0279879665824537,0.251050547948501,6
"48","Bouteloua gracilis","11","unun_11",2008,0.0492704863784527,0.156621963522133,11
"49","Bouteloua gracilis","11","unun_11",2009,0.0228503241837425,0.212526355838177,1
"50","Bouteloua gracilis","11","unun_11",2010,0.0220612385815016,0.240036908186346,4
"51","Bouteloua gracilis","19","gzgz_19",1998,0.24126988159617,0.188750714234077,2
"52","Bouteloua gracilis","19","gzgz_19",1999,0.345380452012792,0.29541018513945,1
"53","Bouteloua gracilis","19","gzgz_19",2000,0.323033306538288,0.257626722871279,2
"54","Bouteloua gracilis","19","gzgz_19",2001,0.252712060207865,0.253053114955121,8
"55","Bouteloua gracilis","19","gzgz_19",2002,0.26911914294891,0.238832211027212,2
"56","Bouteloua gracilis","19","gzgz_19",2003,0.16824265139661,0.179834761801951,3
"57","Bouteloua gracilis","19","gzgz_19",2004,0.111551034244932,0.119244977675883,0
"58","Bouteloua gracilis","19","gzgz_19",2005,0.137184927138875,0.15774452744763,3
"59","Bouteloua gracilis","19","gzgz_19",2006,0.133488005809893,0.189264199673358,4
"60","Bouteloua gracilis","19","gzgz_19",2007,0.316460695767566,0.199594568100778,4
"61","Bouteloua gracilis","19","gzgz_19",2008,0.0519603073050179,0.116362899122998,14
"62","Bouteloua gracilis","19","gzgz_19",2009,0.181858962253257,0.125506542295941,1
"63","Bouteloua gracilis","19","gzgz_19",2010,0.241740830682653,0.212362123361619,0
"64","Bouteloua gracilis","19","gzun_19",1998,0.167452289404613,0.188750714234077,2
"65","Bouteloua gracilis","19","gzun_19",1999,0.299116656962428,0.29541018513945,2
"66","Bouteloua gracilis","19","gzun_19",2000,0.222346560086393,0.257626722871279,0
"67","Bouteloua gracilis","19","gzun_19",2001,0.242779574021733,0.253053114955121,0
"68","Bouteloua gracilis","19","gzun_19",2002,0.231560903885111,0.238832211027212,6
"69","Bouteloua gracilis","19","gzun_19",2003,0.226977548831212,0.179834761801951,0
"70","Bouteloua gracilis","19","gzun_19",2004,0.0942329213292648,0.119244977675883,0
"71","Bouteloua gracilis","19","gzun_19",2005,0.261528914067197,0.15774452744763,0
"72","Bouteloua gracilis","19","gzun_19",2006,0.17955628189118,0.189264199673358,0
"73","Bouteloua gracilis","19","gzun_19",2007,0.205913944813581,0.199594568100778,23
"74","Bouteloua gracilis","19","gzun_19",2008,0.0682263480828503,0.116362899122998,22
"75","Bouteloua gracilis","19","gzun_19",2009,0.0766585967591595,0.125506542295941,2
"76","Bouteloua gracilis","19","gzun_19",2010,0.168671411227624,0.212362123361619,1
"77","Bouteloua gracilis","19","ungz_19",1998,0.192585294600474,0.188750714234077,3
"78","Bouteloua gracilis","19","ungz_19",1999,0.294619411151132,0.29541018513945,0
"79","Bouteloua gracilis","19","ungz_19",2000,0.381582155147699,0.257626722871279,2
"80","Bouteloua gracilis","19","ungz_19",2001,0.297435319968481,0.253053114955121,3
"81","Bouteloua gracilis","19","ungz_19",2002,0.290432899903514,0.238832211027212,1
"82","Bouteloua gracilis","19","ungz_19",2003,0.206308952528625,0.179834761801951,0
"83","Bouteloua gracilis","19","ungz_19",2004,0.186044845048548,0.119244977675883,2
"84","Bouteloua gracilis","19","ungz_19",2005,0.112444113689204,0.15774452744763,4
"85","Bouteloua gracilis","19","ungz_19",2006,0.306064391332014,0.189264199673358,0
"86","Bouteloua gracilis","19","ungz_19",2007,0.250355290406471,0.199594568100778,1
"87","Bouteloua gracilis","19","ungz_19",2008,0.272712032508986,0.116362899122998,2
"88","Bouteloua gracilis","19","ungz_19",2009,0.155705275137609,0.125506542295941,3
"89","Bouteloua gracilis","19","ungz_19",2010,0.286519501098921,0.212362123361619,0
"90","Bouteloua gracilis","19","unun_19",1998,0.153695391335052,0.188750714234077,1
"91","Bouteloua gracilis","19","unun_19",1999,0.24252422043145,0.29541018513945,2
"92","Bouteloua gracilis","19","unun_19",2000,0.103544869712736,0.257626722871279,12
"93","Bouteloua gracilis","19","unun_19",2001,0.219285505622407,0.253053114955121,3
"94","Bouteloua gracilis","19","unun_19",2002,0.164215897371316,0.238832211027212,2
"95","Bouteloua gracilis","19","unun_19",2003,0.117809894451357,0.179834761801951,0
"96","Bouteloua gracilis","19","unun_19",2004,0.085151110080788,0.119244977675883,0
"97","Bouteloua gracilis","19","unun_19",2005,0.119820154895243,0.15774452744763,1
"98","Bouteloua gracilis","19","unun_19",2006,0.137948119660344,0.189264199673358,4
"99","Bouteloua gracilis","19","unun_19",2007,0.025648341415496,0.199594568100778,23
"100","Bouteloua gracilis","19","unun_19",2008,0.0725529085951384,0.116362899122998,3
"101","Bouteloua gracilis","19","unun_19",2009,0.0878033350337392,0.125506542295941,1
"102","Bouteloua gracilis","19","unun_19",2010,0.152516750437277,0.212362123361619,0
"103","Bouteloua gracilis","24","gzgz_24",1998,0.16511399365885,0.126149401814156,0
"104","Bouteloua gracilis","24","gzgz_24",1999,0.0338140951806869,0.0698651033798271,27
"105","Bouteloua gracilis","24","gzgz_24",2000,0.0818468842428937,0.138578713525165,26
"106","Bouteloua gracilis","24","gzgz_24",2001,0.114489360428365,0.114489360428365,5
"107","Bouteloua gracilis","24","gzgz_24",2002,0.108147899101882,0.164201163492707,2
"108","Bouteloua gracilis","24","gzgz_24",2003,0.0786480035642897,0.189024345003896,60
"109","Bouteloua gracilis","24","gzgz_24",2004,0.0666843577404379,0.140075058048677,6
"110","Bouteloua gracilis","24","gzgz_24",2005,0.061908834844237,0.104454059522355,3
"111","Bouteloua gracilis","24","gzgz_24",2006,0.042465357783332,0.151003348192418,7
"112","Bouteloua gracilis","24","gzgz_24",2007,0.134064549768508,0.384236816961211,15
"113","Bouteloua gracilis","24","gzgz_24",2008,0.334411132133742,0.220940736704993,0
"114","Bouteloua gracilis","24","gzgz_24",2009,0.160809128021798,0.193634082668412,1
"115","Bouteloua gracilis","24","gzgz_24",2010,0.123004359977058,0.237481534344847,1
"116","Bouteloua gracilis","24","gzun_24",1998,0.247104320965259,0.126149401814156,0
"117","Bouteloua gracilis","24","gzun_24",1999,0.199345796258697,0.0698651033798271,21
"118","Bouteloua gracilis","24","gzun_24",2002,0.409555516952972,0.164201163492707,0
"119","Bouteloua gracilis","24","gzun_24",2003,0.38026564986108,0.189024345003896,0
"120","Bouteloua gracilis","24","gzun_24",2004,0.302997976611739,0.140075058048677,1
"121","Bouteloua gracilis","24","gzun_24",2005,0.228344194885439,0.104454059522355,0
"122","Bouteloua gracilis","24","gzun_24",2006,0.435621379546234,0.151003348192418,0
"123","Bouteloua gracilis","24","gzun_24",2007,0.322308363501673,0.384236816961211,1
"124","Bouteloua gracilis","24","gzun_24",2008,0.29092561111968,0.220940736704993,1
"125","Bouteloua gracilis","24","gzun_24",2009,0.25942695526171,0.193634082668412,0
"126","Bouteloua gracilis","24","gzun_24",2010,0.447533169779243,0.237481534344847,0
"127","Bouteloua gracilis","24","ungz_24",1998,0.0417395396785205,0.126149401814156,4
"128","Bouteloua gracilis","24","ungz_24",1999,0.0176750920262689,0.0698651033798271,22
"129","Bouteloua gracilis","24","ungz_24",2002,0.107797209173668,0.164201163492707,29
"130","Bouteloua gracilis","24","ungz_24",2003,0.0783307325086214,0.189024345003896,3
"131","Bouteloua gracilis","24","ungz_24",2004,0.12455232936598,0.140075058048677,0
"132","Bouteloua gracilis","24","ungz_24",2005,0.0454650800136247,0.104454059522355,0
"133","Bouteloua gracilis","24","ungz_24",2006,0.0282479301589809,0.151003348192418,70
"134","Bouteloua gracilis","24","ungz_24",2007,0.635243897677475,0.384236816961211,0
"135","Bouteloua gracilis","24","ungz_24",2008,0.0950838877267358,0.220940736704993,6
"136","Bouteloua gracilis","24","ungz_24",2009,0.137883173931902,0.193634082668412,2
"137","Bouteloua gracilis","24","ungz_24",2010,0.12830145818657,0.237481534344847,10
"138","Bouteloua gracilis","24","unun_24",1998,0.0506397529539936,0.126149401814156,5
"139","Bouteloua gracilis","24","unun_24",1999,0.0286254300536556,0.0698651033798271,37
"140","Bouteloua gracilis","24","unun_24",2002,0.0313040287423056,0.164201163492707,682
"141","Bouteloua gracilis","24","unun_24",2003,0.218852994081593,0.189024345003896,0
"142","Bouteloua gracilis","24","unun_24",2004,0.0660655684765519,0.140075058048677,0
"143","Bouteloua gracilis","24","unun_24",2005,0.0820981283461174,0.104454059522355,0
"144","Bouteloua gracilis","24","unun_24",2006,0.0976787252811235,0.151003348192418,4
"145","Bouteloua gracilis","24","unun_24",2007,0.445330456897187,0.384236816961211,0
"146","Bouteloua gracilis","24","unun_24",2008,0.163342315839815,0.220940736704993,10
"147","Bouteloua gracilis","24","unun_24",2009,0.216417073458238,0.193634082668412,0
"148","Bouteloua gracilis","24","unun_24",2010,0.25108714943652,0.237481534344847,0
"149","Bouteloua gracilis","5a","gzgz_5a",1998,0.409868354009961,0.385361292192818,0
"150","Bouteloua gracilis","5a","gzgz_5a",1999,0.419965891914028,0.421052273023487,0
"151","Bouteloua gracilis","5a","gzgz_5a",2002,0.5436970062438,0.514777580435812,0
"152","Bouteloua gracilis","5a","gzgz_5a",2003,0.306231525836884,0.30050990005529,0
"153","Bouteloua gracilis","5a","gzgz_5a",2004,0.354647776625354,0.372734111977248,2
"154","Bouteloua gracilis","5a","gzgz_5a",2005,0.0971018688027444,0.187269078020504,4
"155","Bouteloua gracilis","5a","gzgz_5a",2006,0.169286761896274,0.313046173787884,0
"156","Bouteloua gracilis","5a","gzgz_5a",2007,0.0818564747422544,0.275895679133555,33
"157","Bouteloua gracilis","5a","gzgz_5a",2008,0.250146227601407,0.342489983439582,0
"158","Bouteloua gracilis","5a","gzgz_5a",2009,0.198791195538877,0.281513846476589,1
"159","Bouteloua gracilis","5a","gzgz_5a",2010,0.391219305634932,0.42906786020322,0
"160","Bouteloua gracilis","5a","gzun_5a",1998,0.406062586261657,0.385361292192818,0
"161","Bouteloua gracilis","5a","gzun_5a",1999,0.409483263609105,0.421052273023487,0
"162","Bouteloua gracilis","5a","gzun_5a",2002,0.545032687640948,0.514777580435812,0
"163","Bouteloua gracilis","5a","gzun_5a",2003,0.28810506884682,0.30050990005529,0
"164","Bouteloua gracilis","5a","gzun_5a",2004,0.457213137177022,0.372734111977248,0
"165","Bouteloua gracilis","5a","gzun_5a",2005,0.255587161472377,0.187269078020504,0
"166","Bouteloua gracilis","5a","gzun_5a",2006,0.39601211303416,0.313046173787884,0
"167","Bouteloua gracilis","5a","gzun_5a",2007,0.36444309264753,0.275895679133555,1
"168","Bouteloua gracilis","5a","gzun_5a",2008,0.445893006021378,0.342489983439582,0
"169","Bouteloua gracilis","5a","gzun_5a",2009,0.287924246958405,0.281513846476589,1
"170","Bouteloua gracilis","5a","gzun_5a",2010,0.441778545543209,0.42906786020322,0
"171","Bouteloua gracilis","5a","ungz_5a",1998,0.279346856977594,0.385361292192818,0
"172","Bouteloua gracilis","5a","ungz_5a",1999,0.451580065963994,0.421052273023487,0
"173","Bouteloua gracilis","5a","ungz_5a",2002,0.557659639994311,0.514777580435812,1
"174","Bouteloua gracilis","5a","ungz_5a",2003,0.362947282946353,0.30050990005529,0
"175","Bouteloua gracilis","5a","ungz_5a",2004,0.318595755026294,0.372734111977248,0
"176","Bouteloua gracilis","5a","ungz_5a",2005,0.119619990263064,0.187269078020504,2
"177","Bouteloua gracilis","5a","ungz_5a",2006,0.28894138456279,0.313046173787884,0
"178","Bouteloua gracilis","5a","ungz_5a",2007,0.255496801482819,0.275895679133555,5
"179","Bouteloua gracilis","5a","ungz_5a",2008,0.241822143437256,0.342489983439582,0
"180","Bouteloua gracilis","5a","ungz_5a",2009,0.334301205966533,0.281513846476589,0
"181","Bouteloua gracilis","5a","ungz_5a",2010,0.425126634527941,0.42906786020322,0
"182","Bouteloua gracilis","5a","unun_5a",1998,0.446167371522059,0.385361292192818,0
"183","Bouteloua gracilis","5a","unun_5a",1999,0.403179870606819,0.421052273023487,1
"184","Bouteloua gracilis","5a","unun_5a",2000,0.510704104115559,0.525338377569611,0
"185","Bouteloua gracilis","5a","unun_5a",2001,0.474029496978865,0.474029496978865,0
"186","Bouteloua gracilis","5a","unun_5a",2002,0.412720987864189,0.514777580435812,0
"187","Bouteloua gracilis","5a","unun_5a",2003,0.244755722591106,0.30050990005529,0
"188","Bouteloua gracilis","5a","unun_5a",2004,0.360479779080323,0.372734111977248,0
"189","Bouteloua gracilis","5a","unun_5a",2005,0.276767291543831,0.187269078020504,0
"190","Bouteloua gracilis","5a","unun_5a",2006,0.397944435658314,0.313046173787884,0
"191","Bouteloua gracilis","5a","unun_5a",2007,0.401786347661619,0.275895679133555,0
"192","Bouteloua gracilis","5a","unun_5a",2008,0.432098556698286,0.342489983439582,0
"193","Bouteloua gracilis","5a","unun_5a",2009,0.305038737442543,0.281513846476589,0
"194","Bouteloua gracilis","5a","unun_5a",2010,0.458146955106797,0.42906786020322,0
"195","Bouteloua gracilis","5b","gzgz_5b",1998,0.368388820427948,0.427710838425343,0
"196","Bouteloua gracilis","5b","gzgz_5b",1999,0.249431604391747,0.299696662479861,3
"197","Bouteloua gracilis","5b","gzgz_5b",2002,0.326420612951032,0.47124891227388,48
"198","Bouteloua gracilis","5b","gzgz_5b",2003,0.281367489994146,0.271531899761765,0
"199","Bouteloua gracilis","5b","gzgz_5b",2004,0.342572733705454,0.393701200554912,33
"200","Bouteloua gracilis","5b","gzgz_5b",2005,0.104019910755603,0.0956958154183713,12
"201","Bouteloua gracilis","5b","gzgz_5b",2006,0.117674903592082,0.243116660636447,2
"202","Bouteloua gracilis","5b","gzgz_5b",2007,0.259708424075786,0.298343218087125,3
"203","Bouteloua gracilis","5b","gzgz_5b",2008,0.297928390708634,0.268886713825156,2
"204","Bouteloua gracilis","5b","gzgz_5b",2009,0.381699114577078,0.280569427899951,0
"205","Bouteloua gracilis","5b","gzgz_5b",2010,0.473078802510902,0.425347880517201,0
"206","Bouteloua gracilis","5b","gzun_5b",1998,0.461736119212218,0.427710838425343,0
"207","Bouteloua gracilis","5b","gzun_5b",1999,0.284218145831326,0.299696662479861,0
"208","Bouteloua gracilis","5b","gzun_5b",2002,0.612707910086099,0.47124891227388,0
"209","Bouteloua gracilis","5b","gzun_5b",2003,0.406136811299018,0.271531899761765,0
"210","Bouteloua gracilis","5b","gzun_5b",2004,0.493597473619437,0.393701200554912,0
"211","Bouteloua gracilis","5b","gzun_5b",2005,0.0592370377577834,0.0956958154183713,1
"212","Bouteloua gracilis","5b","gzun_5b",2006,0.306756510196678,0.243116660636447,0
"213","Bouteloua gracilis","5b","gzun_5b",2007,0.495774828174331,0.298343218087125,0
"214","Bouteloua gracilis","5b","gzun_5b",2008,0.201572597323811,0.268886713825156,3
"215","Bouteloua gracilis","5b","gzun_5b",2009,0.361671683731358,0.280569427899951,0
"216","Bouteloua gracilis","5b","gzun_5b",2010,0.433076387017362,0.425347880517201,0
"217","Bouteloua gracilis","5b","ungz_5b",1998,0.403012564325121,0.427710838425343,0
"218","Bouteloua gracilis","5b","ungz_5b",1999,0.310176606566607,0.299696662479861,0
"219","Bouteloua gracilis","5b","ungz_5b",2000,0.418840055991327,0.386549685801613,4
"220","Bouteloua gracilis","5b","ungz_5b",2001,0.407782689694475,0.407782689694475,3
"221","Bouteloua gracilis","5b","ungz_5b",2002,0.459632912491386,0.47124891227388,1
"222","Bouteloua gracilis","5b","ungz_5b",2003,0.185069569564631,0.271531899761765,1
"223","Bouteloua gracilis","5b","ungz_5b",2004,0.385266978298536,0.393701200554912,19
"224","Bouteloua gracilis","5b","ungz_5b",2005,0.138950014036968,0.0956958154183713,0
"225","Bouteloua gracilis","5b","ungz_5b",2006,0.214922855474015,0.243116660636447,0
"226","Bouteloua gracilis","5b","ungz_5b",2007,0.203380050375445,0.298343218087125,7
"227","Bouteloua gracilis","5b","ungz_5b",2008,0.280330475119726,0.268886713825156,1
"228","Bouteloua gracilis","5b","ungz_5b",2009,0.165354835235025,0.280569427899951,0
"229","Bouteloua gracilis","5b","ungz_5b",2010,0.379392125043999,0.425347880517201,1
"230","Bouteloua gracilis","5b","unun_5b",1998,0.477705849736085,0.427710838425343,0
"231","Bouteloua gracilis","5b","unun_5b",1999,0.354960293129763,0.299696662479861,0
"232","Bouteloua gracilis","5b","unun_5b",2002,0.486234213567004,0.47124891227388,0
"233","Bouteloua gracilis","5b","unun_5b",2003,0.213553728189262,0.271531899761765,7
"234","Bouteloua gracilis","5b","unun_5b",2004,0.35336761659622,0.393701200554912,0
"235","Bouteloua gracilis","5b","unun_5b",2005,0.0805762991231313,0.0956958154183713,2
"236","Bouteloua gracilis","5b","unun_5b",2006,0.333112373283012,0.243116660636447,0
"237","Bouteloua gracilis","5b","unun_5b",2007,0.23450956972294,0.298343218087125,14
"238","Bouteloua gracilis","5b","unun_5b",2008,0.295715392148453,0.268886713825156,2
"239","Bouteloua gracilis","5b","unun_5b",2009,0.213552078056342,0.280569427899951,0
"240","Bouteloua gracilis","5b","unun_5b",2010,0.41584420749654,0.425347880517201,0
"241","Bouteloua gracilis","7","gzgz_7",1998,0.166872319750527,0.267554051317813,5
"242","Bouteloua gracilis","7","gzgz_7",1999,0.272025522527779,0.339977165221103,0
"243","Bouteloua gracilis","7","gzgz_7",2002,0.346982391605962,0.447629872206575,21
"244","Bouteloua gracilis","7","gzgz_7",2003,0.194873896921622,0.254887781801131,0
"245","Bouteloua gracilis","7","gzgz_7",2004,0.174165741195594,0.246672978760804,6
"246","Bouteloua gracilis","7","gzgz_7",2005,0.184343568096906,0.126028468541238,2
"247","Bouteloua gracilis","7","gzgz_7",2006,0.300739858774777,0.275392912202743,0
"248","Bouteloua gracilis","7","gzgz_7",2007,0.303448204477976,0.300459590293476,3
"249","Bouteloua gracilis","7","gzgz_7",2008,0.228044449061983,0.280215796361057,7
"250","Bouteloua gracilis","7","gzgz_7",2009,0.270537872730518,0.290894060913628,1
"251","Bouteloua gracilis","7","gzgz_7",2010,0.27992511188552,0.30076382899069,2
"252","Bouteloua gracilis","7","gzun_7",1998,0.320912973048947,0.267554051317813,0
"253","Bouteloua gracilis","7","gzun_7",1999,0.365419318002014,0.339977165221103,0
"254","Bouteloua gracilis","7","gzun_7",2000,0.461586956184191,0.364455892402777,2
"255","Bouteloua gracilis","7","gzun_7",2001,0.542795359025678,0.516012795098551,0
"256","Bouteloua gracilis","7","gzun_7",2002,0.496053705511686,0.447629872206575,0
"257","Bouteloua gracilis","7","gzun_7",2003,0.287056796935006,0.254887781801131,0
"258","Bouteloua gracilis","7","gzun_7",2004,0.301665776666728,0.246672978760804,1
"259","Bouteloua gracilis","7","gzun_7",2005,0.120477712569173,0.126028468541238,4
"260","Bouteloua gracilis","7","gzun_7",2006,0.288042306921601,0.275392912202743,0
"261","Bouteloua gracilis","7","gzun_7",2007,0.296031999928992,0.300459590293476,0
"262","Bouteloua gracilis","7","gzun_7",2008,0.338101627424994,0.280215796361057,0
"263","Bouteloua gracilis","7","gzun_7",2009,0.373362002965179,0.290894060913628,4
"264","Bouteloua gracilis","7","gzun_7",2010,0.388934146737812,0.30076382899069,0
"265","Bouteloua gracilis","7","ungz_7",1998,0.263649684700668,0.267554051317813,0
"266","Bouteloua gracilis","7","ungz_7",1999,0.321507709422794,0.339977165221103,0
"267","Bouteloua gracilis","7","ungz_7",2000,0.374536869601558,0.364455892402777,6
"268","Bouteloua gracilis","7","ungz_7",2001,0.489230231171424,0.516012795098551,0
"269","Bouteloua gracilis","7","ungz_7",2002,0.456010734307049,0.447629872206575,0
"270","Bouteloua gracilis","7","ungz_7",2003,0.228813460272081,0.254887781801131,1
"271","Bouteloua gracilis","7","ungz_7",2004,0.283843641534471,0.246672978760804,0
"272","Bouteloua gracilis","7","ungz_7",2005,0.0810635845110083,0.126028468541238,3
"273","Bouteloua gracilis","7","ungz_7",2006,0.237254166106375,0.275392912202743,2
"274","Bouteloua gracilis","7","ungz_7",2007,0.283446440971476,0.300459590293476,0
"275","Bouteloua gracilis","7","ungz_7",2008,0.205495860217385,0.280215796361057,0
"276","Bouteloua gracilis","7","ungz_7",2009,0.226225820093127,0.290894060913628,0
"277","Bouteloua gracilis","7","ungz_7",2010,0.23662006708514,0.30076382899069,1
"278","Bouteloua gracilis","7","unun_7",1998,0.318781227771109,0.267554051317813,0
"279","Bouteloua gracilis","7","unun_7",1999,0.400956110931825,0.339977165221103,1
"280","Bouteloua gracilis","7","unun_7",2002,0.491472657401604,0.447629872206575,0
"281","Bouteloua gracilis","7","unun_7",2003,0.308806973075813,0.254887781801131,0
"282","Bouteloua gracilis","7","unun_7",2004,0.227016755646421,0.246672978760804,0
"283","Bouteloua gracilis","7","unun_7",2005,0.118229008987866,0.126028468541238,3
"284","Bouteloua gracilis","7","unun_7",2006,0.275535317008219,0.275392912202743,0
"285","Bouteloua gracilis","7","unun_7",2007,0.318911715795458,0.300459590293476,0
"286","Bouteloua gracilis","7","unun_7",2008,0.349221248739868,0.280215796361057,0
"287","Bouteloua gracilis","7","unun_7",2009,0.293450547865687,0.290894060913628,0
"288","Bouteloua gracilis","7","unun_7",2010,0.297575990254287,0.30076382899069,4
